signal,log_total_activity
21231,10.21844924
19858,8.5931987
22458,9.468854968
22477,7.642334962
15279,9.277658755
19843,8.812395663
29271,10.18979308
27089,8.930535094
22376,7.161548811
25333,11.29247362
24997,10.2473903
20738,9.193727411
23730,11.06479172
21971,9.883319256
21390,9.376501936
25135,4.282879591
23227,9.650809281
22591,3.328276542
27495,7.408658448
14708,0.0
22904,11.13813118
27894,8.326968399
28893,5.770091229
25587,0.0
13405,6.562671096
10334,7.220092066
17680,7.452142742
17242,7.220092066
23982,8.173544101
16829,8.392169973
14899,0.0
20967,8.172879001
25933,5.938633573
20542,8.305822222
22268,0.0
12994,9.407358581
13323,7.114110609
11632,6.379328625
11779,5.483921074
16686,7.419865053
24381,5.983064712
19926,6.109248566
28387,6.867092099
20328,7.572415716
25224,7.096959137
28385,7.495391099
18677,7.438033687
22763,2.84227694
18740,5.226181334
24448,5.971531942
15411,8.199409039
18742,6.535352961
16795,6.394976971
17964,6.777571604
27273,8.344883378
15894,4.231651513
11075,7.730872873
19522,7.367204989
21950,7.449568877
16138,6.799711449
22669,4.835739041
24786,0.0
16090,6.747036395
22361,9.703921993
25476,5.374528375
23078,6.854234252
26979,8.631046365
11821,9.320654916
11042,2.153558269
22497,1.688089883
10911,7.914959766
20499,4.758901384
19203,4.794538817
31997,0.0
28801,8.001973483
24003,4.077988542
35058,4.422190605
34752,3.472273033
27957,5.225502371
26116,9.819519991
19754,7.21797497
26827,9.476802309
23994,5.657128884
16009,0.0
17249,8.503924202
25263,0.0
17855,0.0
27912,3.73236714
20279,8.602347628
30718,0.0
19999,0.0
34289,6.321216642
26621,7.532537938
27833,7.533321958
15120,5.590567956
25169,3.99745244
24807,3.107162898
28954,4.886432312
12547,6.165197076
14731,4.510298864
17619,3.657169032
15865,6.319973946
13380,5.863913562
16026,9.330581386
25149,0.0
25522,5.424769318
25581,9.803689903
28041,0.255358983
25339,4.706574461
21916,4.149789721
24318,3.762667384
23602,5.312116035
27655,3.444693508
20063,4.105956148
28853,4.056984974
22060,8.27286082
20608,4.757485342
25042,4.801862004
19897,7.209069042
22311,5.034157803
23203,5.001288172
24306,6.813558126
19866,8.49284507
23891,0.0
28693,8.343447788
26034,0.0
22368,7.254705386
23503,6.368664498
26078,6.952462758
28125,0.0
28718,0.952269218
26534,0.0
24306,0.0
