run_id,well,signal,valid
20260226_11111111_22222222_33333333_44444444_55555555_66666666,A12,21231,True
20260226_11111111_22222222_33333333_44444444_55555555_66666666,B12,19858,True
20260226_11111111_22222222_33333333_44444444_55555555_66666666,C12,22458,True
20260226_11111111_22222222_33333333_44444444_55555555_66666666,D12,22477,True
20260226_11111111_22222222_33333333_44444444_55555555_66666666,E12,15279,True
20260226_11111111_22222222_33333333_44444444_55555555_66666666,F12,19843,True
20260227_24444444_22212222_22225222_25555555_11141111_11211111,A12,29271,True
20260227_24444444_22212222_22225222_25555555_11141111_11211111,B12,27089,True
20260227_24444444_22212222_22225222_25555555_11141111_11211111,C12,22376,True
20260227_24444444_22212222_22225222_25555555_11141111_11211111,D12,25333,True
20260227_24444444_22212222_22225222_25555555_11141111_11211111,E12,24997,True
20260227_24444444_22212222_22225222_25555555_11141111_11211111,F12,20738,True
20260302_26666666_22222522_24444444_22232222_11311111_12222222,A12,23730,True
20260302_26666666_22222522_24444444_22232222_11311111_12222222,B12,21971,True
20260302_26666666_22222522_24444444_22232222_11311111_12222222,C12,21390,True
20260302_26666666_22222522_24444444_22232222_11311111_12222222,D12,25135,True
20260302_26666666_22222522_24444444_22232222_11311111_12222222,E12,23227,True
20260302_26666666_22222522_24444444_22232222_11311111_12222222,F12,22591,True
20260302_44644244_22212126_26444444_41211111_44624444_42212422,A12,27495,True
20260302_44644244_22212126_26444444_41211111_44624444_42212422,B12,14708,True
20260302_44644244_22212126_26444444_41211111_44624444_42212422,C12,22904,True
20260302_44644244_22212126_26444444_41211111_44624444_42212422,D12,27894,True
20260302_44644244_22212126_26444444_41211111_44624444_42212422,E12,28893,True
20260302_44644244_22212126_26444444_41211111_44624444_42212422,F12,25587,True
20260304_11111121_11216111_15444444_11216111_44644144_31141211,A12,13405,True
20260304_11111121_11216111_15444444_11216111_44644144_31141211,B12,10334,True
20260304_11111121_11216111_15444444_11216111_44644144_31141211,C12,17680,True
20260304_11111121_11216111_15444444_11216111_44644144_31141211,D12,17242,True
20260304_11111121_11216111_15444444_11216111_44644144_31141211,E12,23982,True
20260304_11111121_11216111_15444444_11216111_44644144_31141211,F12,16829,True
20260304_22212152_11141216_34644444_61141211_26444144_44634444,A12,14899,True
20260304_22212152_11141216_34644444_61141211_26444144_44634444,B12,2717,False
20260304_22212152_11141216_34644444_61141211_26444144_44634444,C12,20967,True
20260304_22212152_11141216_34644444_61141211_26444144_44634444,D12,25933,True
20260304_22212152_11141216_34644444_61141211_26444144_44634444,E12,20542,True
20260304_22212152_11141216_34644444_61141211_26444144_44634444,F12,22268,True
20260305_11341111_25555556_61111111_22226222_16444444_64444444,A12,12425,True
20260305_11341111_25555556_61111111_22226222_16444444_64444444,B12,12994,True
20260305_11341111_25555556_61111111_22226222_16444444_64444444,C12,13323,True
20260305_11341111_25555556_61111111_22226222_16444444_64444444,D12,11632,True
20260305_11341111_25555556_61111111_22226222_16444444_64444444,E12,11779,True
20260305_11341111_25555556_61111111_22226222_16444444_64444444,F12,16686,True
20260306_34644414_11143211_43644444_11541211_11144111_44444446,A12,24381,True
20260306_34644414_11143211_43644444_11541211_11144111_44444446,B12,19926,True
