enzyme,substrate,concentration,t_min_min,t_max_min,enzyme_nM
X1,glu,,0,15,10.0
X1,xyl,,25,45,100.0
X1,man,,40,60,100.0
G2,glu,,0,15,10.0
G2,xyl,,25,45,100.0
G2,man,,40,60,100.0
G15,glu,,0,15,10.0
G15,xyl,,30,50,100.0
G15,man,,40,120,100.0
X3,glu,,0,15,10.0
X3,xyl,,30,50,100.0
X3,man,,40,120,100.0
G6,glu,,0,15,10.0
G6,xyl,,20,40,100.0
G6,man,,30,60,100.0
G1,glu,,0,15,10.0
G1,glu,1000.0,15,30,
G1,glu,500.0,15,30,
G1,glu,250.0,15,30,
G1,xyl,,60,180,100.0
G1,man,,60,180,100.0
X7,glu,,0,15,10.0
X7,glu,1000.0,15,30,
X7,glu,500.0,15,30,
X7,glu,250.0,15,30,
X7,xyl,,40,120,100.0
X7,man,,40,120,100.0
M13,glu,,20,40,100.0
M13,xyl,,60,180,100.0
M13,man,,60,180,100.0
M7,glu,,0,15,10.0
M7,glu,1000.0,15,30,
M7,glu,500.0,15,30,
M7,xyl,,30,60,100.0
M7,man,,40,120,100.0
M21,glu,,0,15,100.0
M21,xyl,,40,120,100.0
M21,man,,40,120,100.0
X8,glu,,0,15,10.0
X8,glu,1000.0,15,30,
X8,glu,500.0,15,30,
X8,glu,250.0,15,30,
X8,glu,125.0,15,30,
X8,xyl,,60,180,100.0
X8,man,,60,180,100.0
G9,glu,,0,15,10.0
G9,xyl,,60,180,100.0
G9,man,,60,180,100.0
