plate,enzyme,substrate,t_start_min,t_end_min,n_points,slope_RFU_per_min_R1,slope_RFU_per_min_R2,slope_RFU_per_min_R3,R2_R1,R2_R2,R2_R3,slope_RFU_per_min_mean,slope_RFU_per_min_se,slope_uM_per_sec_R1,slope_uM_per_sec_R2,slope_uM_per_sec_R3,slope_uM_per_sec_mean,slope_uM_per_sec_se,std_curve_slope_RFU_per_uM
lab,X1,glucose,0,10,3,57351.1,52292.3,51228.4,0.984682,0.987356,0.986721,53624,1888.72,0.0862098,0.0786054,0.0770062,0.0806072,0.00283911,11087.5
lab,X1,xylose,0,60,13,301.492,253.313,249.955,0.994217,0.998922,0.997797,268.253,16.6477,0.000453201,0.000380779,0.00037573,0.000403237,2.50246e-05,11087.5
lab,X1,mannose,0,60,13,60.2469,61.3941,62.537,0.990649,0.993372,0.992228,61.3927,0.661098,9.05627e-05,9.22872e-05,9.40052e-05,9.2285e-05,9.93758e-07,11087.5
lab,G2,glucose,0,10,3,41663.5,38166.5,37853,0.993144,0.994155,0.994634,39227.7,1221.27,0.0626283,0.0573717,0.0569004,0.0589668,0.00183581,11087.5
lab,G2,xylose,0,60,13,189.835,189.319,190.577,0.998239,0.996767,0.997612,189.91,0.365158,0.000285359,0.000284582,0.000286474,0.000285472,5.48904e-07,11087.5
lab,G2,mannose,0,60,13,58.2293,56.259,57.97,0.990371,0.988288,0.994223,57.4861,0.618104,8.75299e-05,8.45681e-05,8.714e-05,8.64127e-05,9.29129e-07,11087.5
lab,G15,glucose,0,15,4,13940.9,13370.3,13215.4,0.99952,0.999793,0.999823,13508.9,220.605,0.0209559,0.0200981,0.0198653,0.0203064,0.000331612,11087.5
lab,G15,xylose,0,60,13,22.4143,18.867,17.9758,0.960498,0.940421,0.877348,19.7524,1.35559,3.3693e-05,2.83608e-05,2.70211e-05,2.96916e-05,2.03771e-06,11087.5
lab,G15,mannose,0,60,13,9.09963,8.76447,11.1073,0.850416,0.867949,0.907498,9.65714,0.731518,1.36785e-05,1.31747e-05,1.66965e-05,1.45165e-05,1.09961e-06,11087.5
lab,X3,glucose,0,10,3,55203.4,53634.3,49649.2,0.974458,0.977753,0.976974,52829,1653.15,0.0829814,0.0806227,0.0746324,0.0794122,0.002485,11087.5
lab,X3,xylose,0,60,13,156.46,150.97,152.24,0.993786,0.992194,0.991609,153.223,1.65945,0.00023519,0.000226937,0.000228845,0.000230324,2.49448e-06,11087.5
lab,X3,mannose,0,60,13,93.6952,93.4612,96.1711,0.988906,0.990871,0.992761,94.4425,0.866923,0.000140842,0.00014049,0.000144564,0.000141965,1.30315e-06,11087.5
lab,G6,glucose,0,5,2,77155.2,67846.4,58224.4,1,1,1,67742,5465.1,0.115979,0.101986,0.0875225,0.101829,0.0082151,11087.5
lab,G6,xylose,0,60,13,1186.63,1161.34,1199.05,0.998393,0.998264,0.998201,1182.34,11.0943,0.00178374,0.00174572,0.0018024,0.00177729,1.66769e-05,11087.5
lab,G6,mannose,0,60,13,201.299,205.338,209.999,0.989373,0.987647,0.992375,205.545,2.5136,0.00030259,0.000308663,0.000315668,0.000308974,3.77843e-06,11087.5
lab,G1,glucose,0,60,13,5670.7,5586.26,5632.82,0.997766,0.998684,0.998734,5629.93,24.4191,0.00852416,0.00839723,0.00846721,0.00846287,3.67066e-05,11087.5
lab,G1,xylose,0,60,13,12.5253,13.5165,13.678,0.923362,0.914045,0.901361,13.2399,0.360356,1.88279e-05,2.03179e-05,2.05607e-05,1.99022e-05,5.41684e-07,11087.5
lab,G1,mannose,0,60,13,6.437,5.38095,4.637,0.837188,0.584989,0.855914,5.48498,0.522212,9.67605e-06,8.08861e-06,6.9703e-06,8.24498e-06,7.84985e-07,11087.5
lab,X12,glucose,0,60,13,416.643,452.521,479.589,0.998882,0.999593,0.999582,449.584,18.2302,0.000626294,0.000680226,0.000720915,0.000675812,2.74035e-05,11087.5
lab,X12,xylose,0,60,13,3.53407,2.98791,1.39231,0.563563,0.621507,0.0560765,2.6381,0.642537,5.31238e-06,4.49141e-06,2.09291e-06,3.96557e-06,9.65857e-07,11087.5
lab,X12,mannose,0,60,13,0.99304,-0.592674,0.747985,0.0642143,0.0832721,0.0659875,0.382784,0.492832,1.49273e-06,-8.90903e-07,1.12437e-06,5.75398e-07,7.40822e-07,11087.5
lab,X7,glucose,0,20,5,13263.5,13434.3,13277.1,0.999573,0.999639,0.999687,13325,54.7883,0.0199376,0.0201943,0.0199581,0.02003,8.23574e-05,11087.5
lab,X7,xylose,0,60,13,37.2824,37.6264,35.9319,0.97336,0.978727,0.989968,36.9469,0.517131,5.60427e-05,5.65597e-05,5.40125e-05,5.55383e-05,7.77347e-07,11087.5
lab,X7,mannose,0,60,13,16.6326,14.7359,15.5084,0.959535,0.967822,0.980738,15.6256,0.550659,2.5002e-05,2.21509e-05,2.33121e-05,2.34883e-05,8.27746e-07,11087.5
robot,M13,glucose,0,60,13,2.83663,5.77619,3.48059,0.256871,0.693529,0.691768,4.03114,0.89211,7.10664e-06,1.44712e-05,8.71995e-06,1.00993e-05,2.23501e-06,6652.53
robot,M13,xylose,0,60,13,-0.15641,0.326007,-0.0190476,0.00352562,0.0128086,5.21126e-05,0.0501832,0.1435,-3.91856e-07,8.1675e-07,-4.77202e-08,1.25724e-07,3.59511e-07,6652.53
robot,M13,mannose,0,60,13,2.43773,0.287179,1.51355,0.618678,0.0177865,0.31972,1.41282,0.62285,6.10727e-06,7.19474e-07,3.79192e-06,3.53956e-06,1.56043e-06,6652.53
robot,M7,glucose,0,10,3,29629.9,28172,27252.4,0.96989,0.96525,0.96388,28351.4,692.164,0.0742321,0.0705796,0.0682758,0.0710292,0.00173409,6652.53
robot,M7,xylose,0,60,13,201.49,208.436,206.605,0.997235,0.996242,0.996961,205.51,2.07857,0.000504795,0.000522197,0.00051761,0.000514867,5.20746e-06,6652.53
robot,M7,mannose,0,60,13,46.9553,45.7839,46.852,0.995194,0.99721,0.992074,46.5304,0.374449,0.000117638,0.000114703,0.000117379,0.000116573,9.38112e-07,6652.53
robot,M18,glucose,0,60,13,-0.369963,0.599267,1.0663,0.0255777,0.0748491,0.272348,0.431868,0.422978,-9.26874e-07,1.50135e-06,2.67141e-06,1.08196e-06,1.05969e-06,6652.53
robot,M18,xylose,0,60,13,0.040293,1.87106,1.01172,0.000263078,0.465299,0.0971334,0.974359,0.528828,1.00947e-07,4.68759e-06,2.53468e-06,2.44107e-06,1.32488e-06,6652.53
robot,M18,mannose,0,60,13,1.85311,0.344322,1.27839,0.335547,0.0142713,0.175114,1.15861,0.439649,4.64263e-06,8.62635e-07,3.20276e-06,2.90267e-06,1.10146e-06,6652.53
robot,M21,glucose,0,60,13,494.699,510.312,530.626,0.998851,0.998215,0.997781,511.879,10.4006,0.00123938,0.00127849,0.00132938,0.00128242,2.60567e-05,6652.53
robot,M21,xylose,0,60,13,2.33919,3.4326,1.9337,0.322589,0.676608,0.347177,2.5685,0.447628,5.86041e-06,8.59974e-06,4.84452e-06,6.43489e-06,1.12145e-06,6652.53
robot,M21,mannose,0,60,13,0.722344,0.44652,1.69267,0.0522694,0.0229793,0.316726,0.953846,0.377898,1.8097e-06,1.11867e-06,4.24068e-06,2.38968e-06,9.46751e-07,6652.53
robot,M12,glucose,0,60,13,67.0311,76.1674,88.2037,0.987844,0.983653,0.991672,77.1341,6.13106,0.000167934,0.000190823,0.000220978,0.000193245,1.53602e-05,6652.53
robot,M12,xylose,0,60,13,3.31282,1.91172,2.21062,0.529659,0.557184,0.400267,2.47839,0.426045,8.29965e-06,4.78946e-06,5.5383e-06,6.20914e-06,1.06738e-06,6652.53
robot,M12,mannose,0,60,13,0.463004,-0.240293,-0.786447,0.0268024,0.00483672,0.265693,-0.187912,0.361635,1.15997e-06,-6.02009e-07,-1.97029e-06,-4.70778e-07,9.06008e-07,6652.53
robot,X8,glucose,0,60,13,1495.99,1563.87,1640.86,0.99912,0.999038,0.999073,1566.91,41.8475,0.00374793,0.00391797,0.00411087,0.00392559,0.000104841,6652.53
robot,X8,xylose,0,60,13,8.40842,6.32161,4.61062,0.773774,0.857321,0.847492,6.44689,1.09812,2.10657e-05,1.58376e-05,1.1551e-05,1.61515e-05,2.75113e-06,6652.53
robot,X8,mannose,0,60,13,3.62564,1.51245,2.91136,0.810045,0.366195,0.737125,2.68315,0.620604,9.08336e-06,3.78917e-06,7.29385e-06,6.72213e-06,1.55481e-06,6652.53
robot,X9,glucose,0,60,13,-0.176557,1.95751,1.73553,0.00223325,0.346268,0.163519,1.17216,0.677397,-4.4233e-07,4.90417e-06,4.34805e-06,2.93663e-06,1.69709e-06,6652.53
robot,X9,xylose,0,60,13,2.80513,2.70293,0.64359,0.308075,0.447315,0.0697172,2.05055,0.704098,7.02772e-06,6.77168e-06,1.61239e-06,5.13727e-06,1.76399e-06,6652.53
robot,X9,mannose,0,60,13,2.42564,3.27839,0.938828,0.458886,0.538791,0.183016,2.21429,0.683591,6.07699e-06,8.21338e-06,2.35206e-06,5.54748e-06,1.71261e-06,6652.53
robot,G9,glucose,0,20,5,2212.81,2329.81,2348.73,0.999194,0.999382,0.999065,2297.12,42.5057,0.00554379,0.00583691,0.00588431,0.005755,0.00010649,6652.53
robot,G9,xylose,0,60,13,7.59634,5.81941,5.25458,0.895078,0.825709,0.879035,6.22344,0.705547,1.90312e-05,1.45794e-05,1.31644e-05,1.55917e-05,1.76761e-06,6652.53
robot,G9,mannose,0,60,13,4.60256,4.08938,3.31465,0.849246,0.786996,0.778699,4.0022,0.374335,1.15309e-05,1.02452e-05,8.30424e-06,1.00268e-05,9.37825e-07,6652.53
robot_p,p1,glucose,0,10,3,6142.13,6220.53,6103.43,0.998482,0.999099,0.999623,6155.37,34.4453,0.015388,0.0155844,0.015291,0.0154211,8.62963e-05,6652.53
robot_p,p1,xylose,0,60,13,21.3396,18.5176,17.8308,0.990232,0.971595,0.975468,19.2293,1.07359,5.34623e-05,4.63923e-05,4.46716e-05,4.81754e-05,2.68969e-06,6652.53
robot_p,p1,mannose,0,60,13,4.82198,4.77143,5.24945,0.68802,0.775969,0.867001,4.94762,0.15162,1.20806e-05,1.19539e-05,1.31515e-05,1.23953e-05,3.79854e-07,6652.53
